id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat,telephone
1,Olive ERA,"Lion Rise Mal Shop G1-2, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Italian,International,Wine/Cigar,Seafood,Wong Tai Sin,300,Western,Wong Tai Sin,114.1968526,22.3400919,7914-4416
2,ItaMoMo Cafe,"Shop 130, L1/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$51-$100,Italian,Western Restaurant,,,Wong Tai Sin,75,Western,Wong Tai Sin,114.193556,22.341382,7833-1888
3,Wing Lai Yuen Sze Chuen Noodles Restaurant,"G/F, 15-17 Fung Tak Road, Wong Tai Sin",$51-$100,Sichuan,Stir-Fry,,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1963847,22.3433459,8041-3993
4,Singapore Restaurant,"Shop 16, G/F., Lions Rise, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Singaporean,Curry,Skewer,Skewer,Wong Tai Sin,75,Asian,Wong Tai Sin,114.197253,22.340665,3338-5089
5,8 Happiness,"Shop G4A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$101-$200,Taiwan,Stir-Fry,,,Wong Tai Sin,300,Chinese,Wong Tai Sin,114.193556,22.341382,6721-2640
6,South Chinese Style Restaurant,"4 Ngan Fung Street, Wong Tai Sin",$51-$100,Guangdong,Taiwan,Ramen,Fine Dried Seafood,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1980809,22.3440091,3724-3103
7,V Cuisine,"Shop 8, 2/F, Lionsrise, 8 Muk Lun Street, Wong Tai Sin",$201-$400,Guangdong,Dim Sum,Stir-Fry,Business Dining,Wong Tai Sin,150,Hong Kong,Wong Tai Sin,114.197253,22.340665,8984-6308
8,Starbucks Coffee,"Shop G3B, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,American,Salad,Coffee Shop,Casual Drink,Wong Tai Sin,40,Western,Wong Tai Sin,114.193556,22.341382,8577-2536
9,Spicy House,"G/F, 46 Fei Fung Street, Wong Tai Sin",$51-$100,Sichuan,Hot Chili Oil,Skewer,Skewer,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1961578,22.3437569,4333-4825
10,U-Banquet,"2/F, Ho Yuen Centre, 110 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Hot Pot,Seafood,Dim Sum,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.197303,22.342091,6557-0244
11,Ying Tao Roasted Meat Restaurant,"G/F, 20 Sheung Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,Chinese BBQ,Takeaway,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,5779-2607
12,Hyacinth Dessert,"G/F,52 Wan Fung Street, Wong Tai Sin",Below $50,Western,Dessert,Western Restaurant,,Wong Tai Sin,40,Western,Wong Tai Sin,114.1983805,22.3442608,4147-3781
13,Bellapasto Italian Cuisine,"G/F, 32 Ming Fung Street, Wong Tai Sin",$201-$400,Italian,Western Restaurant,,,Wong Tai Sin,150,Western,Wong Tai Sin,114.1968925,22.3443256,5559-3651
14,Ganso Yokocho,"Shop 10, G/F, Lions Rise Hill, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Japanese,Sushi/Sashimi,Yoshoku,,Wong Tai Sin,300,Asian,Wong Tai Sin,114.197253,22.340665,3958-9178
15,Shanghai Teng,"Shop LG08, LG/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$101-$200,Shanghai,Stir-Fry,,,Wong Tai Sin,300,Chinese,Wong Tai Sin,114.1918744,22.3421957,4655-9491
16,Gaia Veggie Shop,"Shop 102-103, 1/F, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Hong Kong Style,Vegetarian,,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.197253,22.340665,2864-3384
17,Original Taste,"G/F, 44 Shung Wah Street, Fung Wong New Village, Wong Tai Sin",$101-$200,International,Skewer,Skewer,,Wong Tai Sin,300,International,Wong Tai Sin,114.1929813,22.3429615,4569-5200
18,Hakka Cuisine,"Unit 16, 1st Floor, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Hakka,Meatless Menu,Dim Sum Restaurant,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.197253,22.340665,3827-3497
19,Arome Bakery,"Shop 9, Wong Tai Sin MTR Station, Wong Tai Sin",Below $50,Western,Bakery,,,Wong Tai Sin,40,Western,Wong Tai Sin,114.1929813,22.3429615,7743-7347
20,Bao Dim Sin Seng,"Shop LG13, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Chinese Buns,Meatless Menu,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,4679-5936
21,Wah Yuen Restaurant,"G/F, 1 Wan Fung St, Fung Wong Sun Chuen, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,1950-3372
22,House of Ho Yuen Noodle Cuisine,"Shop 21, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",Below $50,Chiu Chow,Hong Kong Style,Noodles/Rice Noodles,Wonton/Dumpling,Wong Tai Sin,40,Chinese,Wong Tai Sin,114.197253,22.340665,6850-8552
23,Gold Mondo Vietnamese Restaurant,"Room 9, G/F, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Vietnamese,Noodles/Rice Noodles,,,Wong Tai Sin,75,Asian,Wong Tai Sin,114.197253,22.340665,1975-0022
