id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat
1,Sinmei Tea,"5/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$51-$100,International,Meatless Menu,Coffee Shop,Casual Drink,Sheung Wan,75,International,Central and Western,114.151796,22.2862994
2,Sabor Spanish Touch Private Kitchen,"Rm 601, 6/F, Cheung's Building, 1-3 Wing Lok Street, Sheung Wan",$201-$400,Spanish,Private Kitchen,,,Sheung Wan,150,Western,Central and Western,114.1538818,22.2856373
3,Green Orange,"2/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$101-$200,Western,Western Restaurant,,,Sheung Wan,300,Western,Central and Western,114.151796,22.2862994
4,teakha,"Shop B, 18 Tai Ping Shan Road, Sheung Wan",$51-$100,Western,Bakery,Outdoor,Tea House,Sheung Wan,75,Western,Central and Western,114.148457,22.284433
5,Shui Kee Coffee,"Shop 17, 18167, Sheung Wan",Below $50,Hong Kong Style,Tea Restaurant,Dai Pai Dong,,Sheung Wan,40,Hong Kong,Central and Western,114.121775,22.508509
6,La Postre,"3/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$101-$200,Spanish,International,Dessert,,Sheung Wan,300,Western,Central and Western,114.151796,22.2862994
7,Pizzeria JACOMAX,"Shop C, 88 Commercial Building, 38-42 Wing lok Street, Sheung Wan",$101-$200,Italian,Pizza,Fast Food,,Sheung Wan,300,Western,Central and Western,114.1521598,22.2860786
8,Trattoria Doppio Zero,"G/F, The Pemberton, 22 Bonham Strand, Sheung Wan",$201-$400,Italian,Wine/Cigar,Western Restaurant,,Sheung Wan,150,Western,Central and Western,114.1521281,22.2854991
9,Cafe Deadend,"G/F, 72 Po Hing Fong, Sheung Wan",$101-$200,Western,Bakery,Coffee Shop,,Sheung Wan,300,Western,Central and Western,114.148156,22.283828
10,Viet Thai,"G/F, Yue Thai Commercial Building, 128 Connaught Road Central, Sheung Wan",$51-$100,Vietnamese,Thai,Noodles/Rice Noodles,Dessert,Sheung Wan,75,Asian,Central and Western,114.1521069,22.2869771
11,Lin Heung Kui,"2-3/F, 46-50 Des Voeux Road West, Sheung Wan",$101-$200,Guangdong,Noodles/Rice Noodles,Congee,Dim Sum,Sheung Wan,300,Hong Kong,Central and Western,114.1469515,22.287449
12,Foxtail & Broomcorn,"G/F, 84 Jervois Street, Sheung Wan",$51-$100,International,Noodles/Rice Noodles,Stir-Fry,Western Restaurant,Sheung Wan,75,International,Central and Western,114.1510695,22.2848894
13,Kale,"Room 1301, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,International,Bakery,Hamburger,Coffee Shop,Sheung Wan,75,International,Central and Western,114.1538818,22.2856373
14,Namaste Kitchen,"G/F, 38 Queens Road West, Sheung Wan",$51-$100,Indian,Nepalese,BBQ,Curry,Sheung Wan,75,South Asian,Central and Western,114.1478884,22.2866645
15,Basmati,"1/F, San Toi Building, 137-139 Connaught Road, Sheung Wan",Below $50,Indian,BBQ,Curry,,Sheung Wan,40,South Asian,Central and Western,114.1517764,22.2870536
16,Blue Butcher Bar & Restaurant,"108 Hollywood Road, Sheung Wan",$401-$800,International,Western Restaurant,Bar,,Sheung Wan,600,International,Central and Western,114.1507624,22.2838252
17,DK Cuppa Tea,"G/F, 19 New Market Street, Sheung Wan",$51-$100,Western,Coffee Shop,,,Sheung Wan,75,Western,Central and Western,114.1499834,22.2872764
18,Hoi On Cafe,"G/F, 17, Connaught Road, Sheung Wan",Below $50,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,114.1409155,22.2888102
19,LA Creperie,"GF, 69 Jervois Street, Sheung Wan",$101-$200,French,Dessert,Meatless Menu,Western Restaurant,Sheung Wan,300,Western,Central and Western,114.1511045,22.285223
20,La Parole,"3/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$401-$800,French,Western Restaurant,Social Enterprise Restaurant,,Sheung Wan,600,Western,Central and Western,114.1521281,22.2854991
21,The Popsy Room,"G/F, 30 Upper Lascar Row, Sheung Wan",Above $801,French,International,Wine/Cigar,Vegetarian,Sheung Wan,1200,Western,Central and Western,114.1497106,22.2848258
22,DANDAN Soul Food From Sichuan,"Shop 101A, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan",$51-$100,Sichuan,Noodles/Rice Noodles,Stir-Fry,Fast Food,Sheung Wan,75,Chinese,Central and Western,114.1533557,22.2851111
23,Cedele,"Shop G08, Infinitus Plaza, 199 Des Voeux Rd, Sheung Wan",$51-$100,Western,Bakery,Dessert,Meatless Menu,Sheung Wan,75,Western,Central and Western,114.1427782,22.287981
24,Little Break Coffee & Kitchen,"G/F, Xiu Ping Commercial Building, 104 Jervois Street, Sheung Wan",$101-$200,Western,All Day Breakfast,Coffee Shop,,Sheung Wan,300,Western,Central and Western,114.150691,22.2851369
25,Kwong Lung Hong,"G/F, 119 Wing Lok Street, Sheung Wan",$101-$200,Guangdong,Shanghai Hairy Crab,Takeaway,,Sheung Wan,300,Hong Kong,Central and Western,114.1513031,22.2862472
26,Upper Modern Bistro,"G/F, 6-14 Upper Station Street, Sheung Wan",$401-$800,French,Western Restaurant,,,Sheung Wan,600,Western,Central and Western,114.1484872,22.2851242
27,Shou Zen,"7/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$201-$400,Japanese,Social Enterprise Restaurant,,,Sheung Wan,150,Asian,Central and Western,114.1521281,22.2854991
28,Moon Thai,"2/F, Holiday Inn Express Honk Kong Soho, 83 Jervois Road, Sheung Wan",$101-$200,Thai,Hotel Restaurant,Outdoor,,Sheung Wan,300,Asian,Central and Western,114.1521281,22.2854991
29,Tabibito,"G/F., 20 Po Hing Fong, Sheung Wan",$401-$800,Japanese,Spanish,Seafood,Skewer,Sheung Wan,600,Asian,Central and Western,114.1474484,22.2845459
30,Pasta PaPa,"Room 201, 2/F Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,Italian,Upper-floor Cafe,,,Sheung Wan,75,Western,Central and Western,114.1538818,22.2856373
31,Shelter Lounge,"Shop A,G/F.&1/F., Universal Building, 5-13 New Street, Sheung Wan",$201-$400,Western,Seafood,Western Restaurant,,Sheung Wan,150,Western,Central and Western,114.1538818,22.2856373
32,Oolaa,"G/F, Centre Stage, 108 Hollywood Road (facing Bridges Street), Sheung Wan",$201-$400,International,Seafood,Pizza,All Day Breakfast,Sheung Wan,150,International,Central and Western,114.1499675,22.283601
33,Bibo,"G/F, 163 Hollywood Road, Sheung Wan",Above $801,French,Wine/Cigar,Fine Dining,Western Restaurant,Sheung Wan,1200,Western,Central and Western,114.1499429,22.2843736
34,Ma Sa Restaurant,"G/F, 23 Hiller Street, Sheung Wan",Below $50,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Sheung Wan,40,Hong Kong,Central and Western,114.151407,22.285391
35,Corner Kitchen Cafe,"G/F, 226 Hollywood Road, Sheung Wan",$101-$200,Western,Sandwich,Hamburger,All Day Breakfast,Sheung Wan,300,Western,Central and Western,114.147405,22.285643
36,Vermicelli and fish soup specialist,"G/F, 10 Hillier Street, Sheung Wan",Below $50,Hong Kong Style,Noodles/Rice Noodles,,,Sheung Wan,40,Hong Kong,Central and Western,114.1516692,22.2854332
37,Tim's Kitchen,"Shop A, G/F & 1/F, 84-90 Bonham Strand, Sheung Wan",$401-$800,Guangdong,Stir-Fry,,,Sheung Wan,600,Hong Kong,Central and Western,114.150468,22.285959
38,NOSH Tai Ping Shan,"G/F.,, 11 Upper Station Street, Sheung Wan",$101-$200,Western,Bakery,Coffee Shop,,Sheung Wan,300,Western,Central and Western,114.1482157,22.2848688
39,3rd Space,"G/F, Tai Hing Building, 22A Po Hing Fong, Sheung Wan",$101-$200,Western,International,Dessert,Hamburger,Sheung Wan,300,Western,Central and Western,114.1475266,22.2843699
40,Zumufi,"Shop D, G/F, Willy Commercial Building, 28-36 Wing Kut Street, Sheung Wan",$51-$100,Western,Bakery,Taiwanese Drink,Coffee Shop,Sheung Wan,75,Western,Central and Western,114.1541217,22.285282
41,Dim Sum Square,"G/F., Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan",$51-$100,Hong Kong Style,Dim Sum,,,Sheung Wan,75,Hong Kong,Central and Western,114.1512376,22.2851701
42,Crafty Cow,"G/F, 3-3A Upper Station Street, Sheung Wan",$201-$400,American,Steak House,,,Sheung Wan,150,Western,Central and Western,114.1483197,22.2850196
43,The Cupping Room,"Shop LG, The Centre Mark, 287-299 Queen's Road Central (Entrance on Cleverly Street), Sheung Wan",$51-$100,Italian,Western,Coffee Shop,,Sheung Wan,75,Western,Central and Western,114.1512383,22.2861358
